PEOPLE,recency,frequency,monetary,r_quartile,f_quartile,m_quartile,RFM_Score
งท-51,226,2,5250.0,3,4,2,342
งท-5264,38,8,8820.0,1,2,1,121
งท-7150,146,2,160.0,2,4,4,244
งท-7689,61,7,760.0,1,2,3,123
งท-7698,41,12,8500.0,1,1,1,111
งท-862,42,6,430.0,1,2,4,124
งท-9490,27,9,860.0,1,2,3,123
งท-9624,21,2,330.0,1,4,4,144
งท-9819,46,2,230.0,1,4,4,144
งธ-1555,71,3,1470.0,2,4,3,243
งธ-1883,102,5,660.0,2,3,4,234
งธ-2185,104,2,230.0,2,4,4,244
งธ-2223,119,9,1060.0,2,2,3,223
งธ-2799,1,4,280.0,1,3,4,134
งธ-3176,92,2,2850.0,2,4,2,242
งธ-3561,41,4,200.0,1,3,4,134
งธ-389ชบ,173,4,1300.0,2,3,3,233
งธ-4046,152,9,13200.0,2,2,1,221
งธ-423,11,4,200.0,1,3,4,134
งธ-5724,94,11,9230.0,2,1,1,211
งธ-588,17,9,920.0,1,2,3,123
งธ-6077,97,10,15000.0,2,2,1,221
งธ-6095,117,2,200.0,2,4,4,244
งธ-6203ชบ,30,9,5200.0,1,2,2,122
งธ-6793,42,3,750.0,1,4,3,143
งธ-6964,115,5,1710.0,2,3,3,233
งธ-7010,119,29,25000.0,2,1,1,211
งธ-8202,116,5,250.0,2,3,4,234
งธ-8683,71,2,230.0,2,4,4,244
งธ-9167,41,5,660.0,1,3,4,134
งธ-9194,50,10,1460.0,1,2,3,123
งธ-9530,9,5,600.0,1,3,4,134
งธ-9992,8,4,6050.0,1,3,2,132
งน-1039,55,2,230.0,1,4,4,144
งน-4464,18,13,22000.0,1,1,1,111
งน-4715,67,3,1300.0,1,4,3,143
งน-6141,37,5,1200.0,1,3,3,133
งน-6178,49,2,4500.0,1,4,2,142
งน-6468,0,4,950.0,1,3,3,133
งน-6836,56,6,12000.0,1,2,1,121
งน-7915,58,3,2300.0,1,4,3,143
งน-8766,37,4,200.0,1,3,4,134
งบ-405,21,2,2000.0,1,4,3,143
งา-8342,269,6,810.0,3,2,3,323
งแ-1095,20,2,500.0,1,4,4,144
จ-001,9,13,36766.33,1,1,1,111
จ-003,127,10,43439.25,2,2,1,221
จ-005,211,2,695.93,3,4,3,343
จ-016,19,18,7956.080000000001,1,1,2,112
จ-020,14,33,83071.97,1,1,1,111
จ-022,8,621,1292800.02,1,1,1,111
จ-048,420,4,10841.12,4,3,1,431
จ-057,264,3,2345.79,3,4,3,343
จ-065,332,4,14953.27,4,3,1,431
จ-066,381,4,12149.53,4,3,1,431
จ-072,190,14,12976.64,3,1,1,311
จ-083,318,4,10654.21,4,3,1,431
จ-277,428,2,2269.16,4,4,3,443
จ-278,426,16,7831.77,4,1,2,412
จ-279,421,2,299.06,4,4,4,444
จ-280,45,293,206542.06,1,1,1,111
จ-282,330,5,8811.210000000001,4,3,1,431
จ-283,301,4,11588.79,3,3,1,331
จ-284,272,4,7289.72,3,3,2,332
จ-285,271,4,10654.21,3,3,1,331
จ-286,238,4,20000.0,3,3,1,331
จ-287,231,4,8411.21,3,3,2,332
จ-288,218,4,23177.57,3,3,1,331
จ-294,118,4,11401.87,2,3,1,231
จ-295,117,2,2803.74,2,4,2,242
จ-302,44,2,467.29,1,4,4,144
จ-303,40,4,9532.71,1,3,1,131
จ-304,39,4,14392.52,1,3,1,131
จ-305,37,4,8411.21,1,3,2,132
จ-306,37,4,9121.5,1,3,1,131
จ-307,37,2,3925.23,1,4,2,142
จ-308,12,2,1450.47,1,4,3,143
จฉ-4037,180,2,230.0,3,4,4,344
จต-22,194,2,200.0,3,4,4,344
ฉ-001,103,41,42666.35,2,1,1,211
ฉ-004,306,3,5807.48,4,4,2,442
ฉ-008,161,9,13462.619999999999,2,2,1,221
ฉฉ-5192,356,2,200.0,4,4,4,444
ฉธ-3663,143,12,22740.0,2,1,1,211
ฉพ-5349,237,9,15000.0,3,2,1,321
ฉร-9544,173,5,960.0,2,3,3,233
ฉร-9679,3,4,1400.0,1,3,3,133
ฉษ-7051,131,2,1450.0,2,4,3,243
